type,name,notice,furigana
燃やせるごみ,アイスノン,,あ
燃やせないごみ,アイスボックス,50センチメートルを超えるものは大型ごみ,あ
燃やせないごみ,アイロン,,あ
燃やせないごみ,アイロン台（家庭用）,50センチメートルを超えるものは大型ごみ,あ
大型ごみ,アコーディオンカーテン,2枚まで1点,あ
特定大型ごみ,脚付きマットレス,ベッドと同様の扱い,あ
燃やせないごみ,足踏み式健康器具（機械式）,50センチメートルを超えるものは大型ごみ,あ
古紙類,厚紙,,あ
廃食用油,油(食用),植物性油のみ廃食用油、動物性油は燃やせるごみ,あ
処理困難物,油(食用以外),市が収集処理できないもの,あ
大型ごみ,雨戸,"2枚まで1点
50センチメートル以下は燃やせないごみ",あ
燃やせないごみ,雨樋,140センチメートルを超えるものは大型ごみ（4メートルまで可）,あ
大型ごみ,編み機,50センチメートル以下は燃やせないごみ,あ
大型ごみ,網戸,"3枚まで1点
50センチメートル以下は燃やせないごみ
網だけの場合は燃やせるごみ",あ
燃やせるごみ,アルバム,金属がついているものは燃やせないごみ,あ
大型ごみ,アルミサッシ,枠のみは3枚まで1点　　ガラス付きは1枚で1点,あ
燃やせるごみ,アルミホイル,,あ
燃やせないごみ,アンテナ,50センチメートルを超えるものは大型ごみ,あ
燃やせないごみ,アンテナ（BS・CS）,50センチメートルを超えるものは大型ごみ,あ
燃やせないごみ,アンプ,50センチメートルを超えるものは大型ごみ,あ
大型ごみ,池（プラスチック製）,50センチメートル以下は燃やせないごみ,い
処理困難物,石,市が収集処理できないもの ,い
燃やせないごみ,衣装ケース（1段のもの）,"大きさにかかわらず燃やせないごみ
2段以上のものや厚い鉄板製などで50センチメートルを超えるものは大型ごみ",い
大型ごみ,椅子,50センチメートル以下は燃やせないごみ,い
燃やせるごみ,板,"長さ50センチメートル以下で厚さ3センチメートル以下のもの
厚さ3センチメートルを超えるものは木材欄を参照",い
大型ごみ,板,"長さ50センチメートルを超え2メートル未満のもの
厚さ3センチメートル以下は3枚まで1点",い
大型ごみ,一輪車,50センチメートル以下は燃やせないごみ,い
処理困難物,井戸ポンプ,市が収集処理できないもの ,い
大型ごみ,犬小屋,解体し洗う　　50センチメートル以下は燃やせないごみ,い
衣類・布類,衣類・布類,,い
家電リサイクル,衣類乾燥機,家電リサイクル法対象品目,い
大型ごみ,ウィンドサーフィン,"ボードで1点　　マスト・セール・ブームで各1点
ボード・マストは長さ2メートル未満のものに限る",う
燃やせないごみ,ウィンドファン,"50センチメートルを超えるものは大型ごみ
窓用エアコンは家電リサイクル法対象品目",う
燃やせないごみ,植木鉢（鉢のみ）,50センチメートルを超えるものは大型ごみ,う
燃やせるごみ,ウェットスーツ,,う
大型ごみ,ウォーターベッド,"中身が水の場合は水を抜いておく
中身が薬品の場合は抜くか、業者へ依頼する",う
大型ごみ,ウォシュレット便座,"洗ってから袋に入れる
50センチメートル以下は燃やせないごみ",う
処理困難物,臼,市が収集処理できないもの,う
大型ごみ,ウッドカーペット,長さ2メートル未満のもの,う
大型ごみ,ウッドデッキ,1坪以下のものに限る　　解体する,う
大型ごみ,ウッドパネル,"1枚で1点
50センチメートル以下は燃やせないごみ",う
大型ごみ,乳母車（手押し車）,50センチメートル以下は燃やせないごみ,う
家電リサイクル,エアコン,家電リサイクル法対象品目,え
大型ごみ,エアロバイク,,え
家電リサイクル,液晶テレビ,家電リサイクル法対象品目,え
燃やせるごみ,枝木・幹,"長さ50センチメートル以下で直径10センチメートル以下のもの
1～3袋または束にまとめる",え
燃やせないごみ,枝木・幹,"長さ50センチメートル以下で直径10センチメートルを超え20センチメートル以下のもの
1～3袋または束にまとめる",え
大型ごみ,枝木・幹,"長さ50センチメートルを超え2メートル未満で直径20センチメートル以下のもの
3本まで1点",え
処理困難物,枝木・幹,長さ2メートルを超えるものや直径20センチメートルを超えるもの,え
燃やせるごみ,絵の具,,え
燃やせるごみ,オアシス,,お
特定大型ごみ,オイルヒーター,50センチメートルを超えるものは大型ごみ,お
燃やせないごみ,オーディオラック,50センチメートルを超えるものは大型ごみ,お
燃やせないごみ,オーブントースター,50センチメートルを超えるものは大型ごみ,お
大型ごみ,オーブンレンジ,50センチメートル以下は燃やせないごみ,お
大型ごみ,おまる（便座）,"洗ってから袋に入れる
50センチメートル以下は燃やせないごみ",お
燃やせるごみ,おむつ,,お
燃やせないごみ,おもちゃ,"電動の場合、電池は取り外す
50センチメートルを超えるものは大型ごみ",お
大型ごみ,オルガン,,お
大型ごみ,オルガン（電気）,,お
処理困難物,オルガン（電子）,市が収集処理できないもの,お
金属類,おろし金,「金属類」指定10品目,お
処理困難物,温水器,市が収集処理できないもの,お
衣類・布類 ,カーテン ,金具ははずして燃やせないごみ,か
大型ごみ ,カーテンレール ,"3本まで1点（4メートルまで可）
ダブルタイプも同様の扱い
140センチメートル以下は燃やせないごみ",か
燃やせないごみ ,ガーデンパラソル ,固定用のコンクリート台は処理困難物,か
大型ごみ ,カーペット ,1畳以下は燃やせるごみ,か
燃やせるごみ ,貝殻 ,,か
燃やせるごみ ,カイロ ,,か
燃やせないごみ ,鏡 ,50センチメートルを超えるものは大型ごみ,か
燃やせないごみ ,額 ,"50センチメートルを超えるものは大型ごみ
木製でも金属製でも同様の扱い
3枚まで1点",か
木材欄を参照 ,角材 ,,か
燃やせないごみ ,傘 ,大きさにかかわらず燃やせないごみ ,か
大型ごみ ,傘立て ,50センチメートル以下は燃やせないごみ,か
燃やせないごみ ,加湿器 ,50センチメートルを超えるものは大型ごみ,か
特定粗大ごみ ,ガスコンベック ,点火装置が危険なため　　電池は取り外す,か
特定粗大ごみ ,ガスストーブ ,点火装置が危険なため　　電池は取り外す,か
特定粗大ごみ ,ガステーブルレンジ ,点火装置が危険なため　　電池は取り外す,か
特定粗大ごみ ,ガスファンヒーター ,点火装置が危険なため　　電池は取り外す,か
